sim,i,j,fonte_i,fonte_j,dia_i,dia_j,titulo_i,titulo_j
0.9741371870040894,686,1545,A Tribuna,Folha da Região,2017-07-27,2017-07-27,"Com explosão de hamburguerias, McDonald's abre 1ª loja digital",McDonald's abre 1ª loja digital
1.0,1284,1545,Diário da Região/São José do Rio Preto,Folha da Região,2017-07-27,2017-07-27,McDonald's abre 1ª loja digital,McDonald's abre 1ª loja digital
0.9986190795898438,1022,1619,Valor Econômico - Impresso - Flip,Valor Econômico,2019-03-15,2019-03-15,Tok&Stok volta a abrir lojas e planeja IPO,Tok&Stok volta a abrir lojas e planeja IPO
0.9986190795898438,1022,2289,Valor Econômico - Impresso - Flip,Valor Econômico - Impresso,2019-03-15,2019-03-15,Tok&Stok volta a abrir lojas e planeja IPO,Tok&Stok volta a abrir lojas e planeja IPO
1.0,1619,2289,Valor Econômico,Valor Econômico - Impresso,2019-03-15,2019-03-15,Tok&Stok volta a abrir lojas e planeja IPO,Tok&Stok volta a abrir lojas e planeja IPO
1.0,1452,2050,Valor Econômico - Impresso,Valor Econômico,2017-12-26,2017-12-26,Cacau Show prevê avanço vigoroso e acelera aberturas,Cacau Show prevê avanço vigoroso e acelera aberturas
0.945713996887207,1452,2940,Valor Econômico - Impresso,Estadão,2017-12-26,2021-07-19,Cacau Show prevê avanço vigoroso e acelera aberturas,Cacau Show põe o pé no acelerador para inaugurar 400 lojas até o fim ano
0.945713996887207,2050,2940,Valor Econômico,Estadão,2017-12-26,2021-07-19,Cacau Show prevê avanço vigoroso e acelera aberturas,Cacau Show põe o pé no acelerador para inaugurar 400 lojas até o fim ano
1.0,10,2831,DCI Online,DCI Online,2019-05-10,2019-05-10,Walmart decide focar em lojas físicas e encerra shopping virtual,Walmart decide focar em lojas físicas e encerra shopping virtual
0.9524521827697754,15,1401,Estadão,Estadão,2018-03-12,2018-08-23,"Inauguração da Artefacto, no Jardins","Inauguração Porto Luna, na Vila Olímpia"
0.9539775848388672,35,1998,Diário do Grande ABC - Impresso - Flip,Diário do Grande ABC - Impresso - Flip,2019-05-22,2019-05-22,"Scania anuncia investimento de R$ 1,4 bi em São Bernardo",Página impresso 5 (22/05/2019) - Fonte: Diário do Grande ABC
0.9581397771835327,42,209,Valor Econômico,Diário da Região/São José do Rio Preto,2016-01-27,2016-01-27,Gerdau forma joint venture com Sumitomo e Japan Steel,Conselho da Gerdau aprova joint venture com Sumitomo e Japan Steel
0.9448277950286865,49,2151,Jornal da Cidade de Bauru - JCNET,Estadão,2021-07-17,2020-07-31,Crise hídrica impulsiona mercado de energia solar,Energia solar nas residências e no comércio
0.9715245962142944,63,2668,Diário do Grande ABC,Folha da Região,2019-03-26,2019-03-26,Mercado Livre investe R$ 3 bi,Mercado Livre investe R$ 3 bi
0.9983439445495605,65,2866,Valor Econômico - Impresso - Flip,Valor Econômico - Impresso,2018-11-21,2018-11-21,Enel des­ti­na4 bi pa­ra o país até 2021,Enel destina ? 4 bi para o país até 2021
0.9561291933059692,74,538,Valor Econômico,Valor Econômico,2024-02-05,2022-12-19,"Energisa projeta investimentos de R$ 6,07 bilhões em 2024","Energisa projeta investimento de R$ 29,5 bi até 2026"
0.9646714925765991,85,891,DCI Online,Diário do Grande ABC,2017-10-14,2017-10-14,Supermercado online ganha opções e busca adeptos,Supermercado online ganha opções e busca adeptos
0.9744212627410889,91,2213,Jornal de Jundiaí,Jornal de Jundiaí,2017-07-27,2017-07-27,CPFL inaugura 2º eletroposto e consolida corredor elétrico Campinas/São Paulo | Jornal de Jundiaí,CPFL inaugura 2º eletroposto e consolida corredor elétrico | Jornal de Jundiaí
0.9999997615814209,94,1567,Diário do Grande ABC,Estadão,2021-06-26,2021-06-26,E-commerce dá fôlego a embalagens e faz setor crescer acima da média do PIB,E-commerce dá fôlego a embalagens e faz setor crescer acima da média do PIB
0.950645923614502,108,1118,Folha da Região,Estadão,2019-08-16,2019-08-15,VW desenvolve no País carro que também será feito na Europa,"Pela primeira vez, carro desenvolvido pela VW brasileira será produzido na Europa"
1.0,114,1391,Valor Econômico - Impresso,Valor Econômico,2019-03-14,2019-03-14,Fábrica da Qualcomm e USI será em Jaguariúna,Fábrica da Qualcomm e USI será em Jaguariúna
